Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+076.853,+000.105,+179.337,+0.157,+0.611,-0.784,+00.0330,-00.1230,+10.0450,-00.000062,-00.000204,-00.000769
+076.852,+000.105,+179.337,+0.159,+0.608,-0.784,+00.0180,-00.1340,+10.0570,+00.000170,-00.001100,+00.000827
+076.852,+000.107,+179.337,+0.158,+0.608,-0.778,+00.0020,-00.1190,+10.0710,-00.000116,+00.000447,+00.000444
+076.852,+000.107,+179.337,+0.154,+0.612,-0.783,+00.0290,-00.1140,+10.0330,+00.000745,+00.000478,+00.000476
+076.851,+000.108,+179.336,+0.160,+0.607,-0.784,+00.0410,-00.1100,+10.0370,+00.000376,+00.000153,+00.000718
+076.850,+000.109,+179.336,+0.156,+0.610,-0.784,+00.0160,-00.0950,+10.0680,-00.001143,-00.000718,+00.000654
+076.849,+000.108,+179.337,+0.158,+0.606,-0.787,+00.0130,-00.1170,+10.0550,-00.000228,-00.000079,-00.000227
+076.848,+000.107,+179.337,+0.157,+0.612,-0.788,+00.0110,-00.1230,+10.0390,+00.001055,+00.000404,+00.001056
+076.848,+000.107,+179.337,+0.158,+0.613,-0.786,+00.0000,-00.1190,+10.0420,+00.001272,-00.001231,+00.000970
+076.847,+000.107,+179.337,+0.157,+0.608,-0.783,+00.0290,-00.1230,+10.0400,-00.000271,-00.001580,-00.000563
+076.846,+000.106,+179.337,+0.160,+0.610,-0.784,+00.0370,-00.1190,+10.0380,-00.000529,+00.000647,-00.000121
+076.845,+000.107,+179.337,+0.156,+0.607,-0.784,+00.0170,-00.1220,+10.0420,-00.000046,-00.000490,-00.000259
+076.844,+000.106,+179.336,+0.160,+0.604,-0.782,+00.0100,-00.0970,+10.0530,-00.000319,+00.000944,+00.000689
+076.843,+000.106,+179.337,+0.160,+0.618,-0.783,+00.0250,-00.1080,+10.0710,+00.000341,+00.000827,+00.000154
+076.843,+000.106,+179.337,+0.160,+0.608,-0.787,+00.0250,-00.1040,+10.0390,-00.000766,+00.000459,-00.000517
+076.842,+000.106,+179.338,+0.157,+0.610,-0.784,+00.0120,-00.1090,+10.0280,-00.000956,-00.000708,+00.001067
+076.841,+000.106,+179.337,+0.159,+0.618,-0.788,+00.0450,-00.1250,+10.0320,-00.000308,-00.000792,+00.000328
+076.842,+000.108,+179.338,+0.157,+0.610,-0.781,+00.0370,-00.1240,+10.0450,+00.000751,-00.000521,+00.001261
+076.841,+000.107,+179.336,+0.160,+0.610,-0.781,+00.0110,-00.1130,+10.0720,+00.000087,-00.000390,+00.001160
+076.840,+000.108,+179.337,+0.156,+0.615,-0.783,+00.0400,-00.1260,+10.0610,+00.000334,+00.000451,+00.000245
+076.840,+000.109,+179.338,+0.158,+0.607,-0.781,+00.0360,-00.1150,+10.0620,-00.000073,-00.001035,+00.000648
+076.839,+000.108,+179.338,+0.158,+0.612,-0.786,+00.0280,-00.1260,+10.0450,+00.000555,+00.000068,+00.000853
+076.839,+000.109,+179.337,+0.160,+0.613,-0.781,+00.0600,-00.1230,+10.0620,-00.002052,-00.000261,-00.000447
+076.839,+000.109,+179.337,+0.158,+0.607,-0.783,+00.0230,-00.0970,+10.0510,-00.001475,-00.000524,+00.000261
+076.838,+000.109,+179.336,+0.161,+0.611,-0.784,+00.0190,-00.1140,+10.0510,-00.000899,+00.000107,+00.000454
+076.838,+000.109,+179.336,+0.157,+0.603,-0.790,+00.0400,-00.1510,+10.0790,+00.000026,-00.000336,+00.000045
+076.838,+000.110,+179.336,+0.157,+0.610,-0.783,+00.0220,-00.1310,+10.0330,+00.000351,-00.000049,+00.000151
+076.836,+000.108,+179.335,+0.157,+0.610,-0.784,+00.0140,-00.1300,+10.0490,-00.000410,+00.000990,+00.000464
+076.835,+000.109,+179.335,+0.158,+0.611,-0.780,+00.0170,-00.1210,+10.0830,-00.000430,+00.000894,+00.000970
+076.834,+000.110,+179.335,+0.160,+0.611,-0.787,+00.0190,-00.1150,+10.0600,+00.000396,-00.001327,+00.000833
+076.833,+000.110,+179.334,+0.159,+0.606,-0.780,+00.0320,-00.1210,+10.0660,-00.000378,-00.000971,+00.000025
+076.832,+000.110,+179.333,+0.158,+0.605,-0.780,+00.0260,-00.1150,+10.0340,-00.000803,-00.000563,+00.000057
+076.832,+000.110,+179.333,+0.158,+0.612,-0.784,+00.0140,-00.1060,+10.0570,+00.001111,+00.001218,+00.000859
+076.832,+000.110,+179.334,+0.157,+0.608,-0.788,+00.0220,-00.1180,+10.0580,-00.000061,-00.000506,+00.001363
+076.832,+000.110,+179.334,+0.158,+0.608,-0.780,+00.0240,-00.1110,+10.0400,+00.000467,+00.000568,-00.000156
