Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+170.438,+000.128,+179.337,+0.090,+0.606,-0.744,+00.0420,-00.1270,+10.0430,-00.000751,+00.001611,+00.000271
+170.438,+000.130,+179.337,+0.090,+0.605,-0.747,+00.0080,-00.1120,+10.0740,+00.000356,-00.000163,-00.000309
+170.439,+000.128,+179.336,+0.091,+0.608,-0.744,+00.0310,-00.1170,+10.0910,-00.000961,+00.000624,-00.001004
+170.438,+000.128,+179.336,+0.089,+0.603,-0.741,+00.0190,-00.1210,+10.0630,-00.001346,+00.001017,-00.000175
+170.437,+000.128,+179.336,+0.089,+0.606,-0.747,+00.0000,-00.1190,+10.0720,+00.000244,+00.000552,-00.000944
+170.437,+000.129,+179.336,+0.088,+0.608,-0.743,+00.0350,-00.1270,+10.0590,-00.000284,+00.000006,+00.001843
+170.438,+000.129,+179.336,+0.091,+0.602,-0.747,+00.0570,-00.1250,+10.0550,-00.000837,+00.000119,+00.000371
+170.437,+000.131,+179.336,+0.091,+0.608,-0.746,+00.0220,-00.0930,+10.0670,+00.000609,-00.000344,+00.000201
+170.437,+000.131,+179.337,+0.091,+0.605,-0.739,+00.0240,-00.0950,+10.0540,+00.000180,+00.000480,-00.000240
+170.437,+000.131,+179.338,+0.091,+0.608,-0.743,+00.0470,-00.1220,+10.0810,-00.000839,-00.000022,+00.000408
+170.437,+000.131,+179.338,+0.088,+0.612,-0.744,-00.0100,-00.1170,+10.0630,+00.001481,-00.000102,-00.000065
+170.437,+000.130,+179.339,+0.092,+0.607,-0.741,+00.0280,-00.1100,+10.0450,+00.000202,+00.000282,+00.001339
+170.437,+000.128,+179.340,+0.088,+0.615,-0.743,+00.0400,-00.1210,+10.0660,+00.000563,+00.000900,-00.000163
+170.436,+000.129,+179.340,+0.089,+0.608,-0.744,+00.0140,-00.1120,+10.0810,+00.000454,+00.000214,-00.000430
+170.436,+000.128,+179.341,+0.091,+0.608,-0.747,+00.0320,-00.1310,+10.1050,+00.000122,-00.000522,-00.000998
+170.436,+000.127,+179.339,+0.090,+0.602,-0.741,+00.0360,-00.1250,+10.0960,-00.000538,+00.000699,+00.000820
+170.437,+000.127,+179.340,+0.089,+0.609,-0.742,+00.0240,-00.1380,+10.0260,+00.000799,-00.001643,-00.000588
+170.436,+000.127,+179.338,+0.091,+0.609,-0.739,-00.0060,-00.1240,+10.0800,+00.000679,+00.001211,+00.000337
+170.437,+000.126,+179.337,+0.092,+0.608,-0.748,+00.0220,-00.1390,+10.0970,+00.001219,-00.000562,+00.000154
+170.437,+000.127,+179.337,+0.090,+0.609,-0.743,+00.0280,-00.1040,+10.0950,-00.000071,+00.000170,-00.000276
+170.437,+000.127,+179.337,+0.089,+0.610,-0.744,+00.0240,-00.1230,+10.0740,-00.000438,-00.000826,-00.000503
+170.436,+000.128,+179.337,+0.090,+0.609,-0.744,+00.0260,-00.1020,+10.0700,-00.000358,-00.000602,+00.000238
+170.436,+000.128,+179.337,+0.093,+0.607,-0.740,-00.0060,-00.1010,+10.0780,-00.000042,-00.000292,+00.000448
+170.436,+000.128,+179.337,+0.090,+0.603,-0.744,+00.0410,-00.1170,+10.0990,-00.000333,-00.000519,-00.000001
+170.437,+000.129,+179.337,+0.091,+0.609,-0.741,+00.0180,-00.1060,+10.1100,-00.001051,-00.000038,-00.000638
+170.437,+000.129,+179.337,+0.091,+0.608,-0.739,+00.0270,-00.1160,+10.0880,-00.000549,+00.000367,-00.000322
+170.438,+000.130,+179.337,+0.091,+0.605,-0.744,+00.0110,-00.1230,+10.0590,-00.000402,+00.000025,-00.001060
+170.439,+000.128,+179.336,+0.092,+0.607,-0.741,-00.0200,-00.1140,+10.0820,+00.000517,-00.000222,-00.000284
+170.438,+000.128,+179.335,+0.089,+0.608,-0.749,+00.0220,-00.1070,+10.0850,+00.000236,-00.000114,+00.000208
+170.437,+000.128,+179.335,+0.089,+0.612,-0.743,+00.0160,-00.1300,+10.1050,-00.000558,-00.000162,+00.000564
+170.438,+000.127,+179.336,+0.090,+0.607,-0.743,+00.0040,-00.1190,+10.1070,+00.001266,+00.000525,+00.000431
+170.437,+000.126,+179.336,+0.091,+0.608,-0.737,+00.0370,-00.1010,+10.0930,-00.000430,+00.000818,+00.000830
+170.437,+000.125,+179.337,+0.091,+0.614,-0.744,+00.0130,-00.1170,+10.0760,+00.000034,+00.001101,+00.001122
+170.438,+000.126,+179.336,+0.090,+0.612,-0.740,+00.0120,-00.1330,+10.0790,-00.001578,-00.000167,+00.000132
+170.437,+000.125,+179.335,+0.090,+0.609,-0.743,+00.0150,-00.1090,+10.0550,-00.001534,+00.000452,+00.000491
+170.437,+000.126,+179.337,+0.091,+0.608,-0.744,+00.0240,-00.1090,+10.0660,+00.000749,-00.000001,+00.001044
+170.437,+000.126,+179.337,+0.089,+0.605,-0.746,+00.0230,-00.1080,+10.0530,-00.000464,+00.000397,+00.000596
+170.438,+000.127,+179.337,+0.089,+0.606,-0.743,+00.0300,-00.1070,+10.0400,-00.000565,+00.000645,-00.001428
+170.438,+000.126,+179.337,+0.090,+0.606,-0.751,+00.0170,-00.1220,+10.0570,+00.001027,+00.000569,-00.000328
+170.438,+000.126,+179.338,+0.091,+0.608,-0.741,+00.0220,-00.1330,+10.0620,+00.000117,-00.000306,-00.001238
+170.438,+000.126,+179.337,+0.089,+0.607,-0.750,+00.0170,-00.0830,+10.0350,-00.000344,-00.000354,+00.001299
+170.438,+000.126,+179.338,+0.089,+0.610,-0.739,+00.0080,-00.1090,+10.0490,+00.001664,+00.000342,+00.000159
+170.437,+000.126,+179.338,+0.090,+0.605,-0.743,+00.0200,-00.1190,+10.0790,-00.000160,-00.000252,+00.000528
+170.438,+000.127,+179.337,+0.090,+0.608,-0.743,+00.0480,-00.1030,+10.0840,-00.000503,-00.000747,-00.000238
+170.438,+000.127,+179.338,+0.092,+0.615,-0.747,+00.0060,-00.1140,+10.0900,+00.000374,-00.000649,+00.000085
+170.437,+000.127,+179.338,+0.091,+0.608,-0.741,+00.0150,-00.1310,+10.0630,-00.000330,-00.000070,-00.000470
+170.437,+000.127,+179.337,+0.092,+0.611,-0.743,+00.0170,-00.1420,+10.0660,-00.000745,+00.000172,+00.000384
