Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+078.247,+000.110,+179.338,+0.241,+0.567,-0.823,+00.0070,-00.1180,+10.0420,-00.000112,+00.000231,-00.000647
+078.248,+000.110,+179.338,+0.237,+0.567,-0.830,+00.0030,-00.1040,+10.0400,-00.000123,-00.000156,-00.000961
+078.248,+000.110,+179.338,+0.241,+0.573,-0.824,+00.0200,-00.1310,+10.0890,+00.000976,-00.000161,-00.000902
+078.249,+000.110,+179.338,+0.238,+0.563,-0.820,+00.0240,-00.1070,+10.0500,-00.000708,+00.000585,-00.000046
+078.251,+000.109,+179.338,+0.238,+0.567,-0.829,+00.0260,-00.1140,+10.0630,+00.000392,+00.000273,-00.000287
+078.252,+000.110,+179.338,+0.240,+0.575,-0.822,+00.0110,-00.1150,+10.0680,-00.000744,+00.000035,-00.000304
+078.253,+000.109,+179.338,+0.243,+0.573,-0.824,+00.0200,-00.1240,+10.0460,-00.000139,+00.000461,-00.000839
+078.253,+000.110,+179.338,+0.241,+0.567,-0.826,-00.0040,-00.1390,+10.0710,-00.000948,+00.000800,-00.000422
+078.255,+000.109,+179.338,+0.241,+0.565,-0.828,+00.0070,-00.0950,+10.0570,+00.001387,+00.000287,+00.000568
+078.254,+000.109,+179.337,+0.241,+0.568,-0.824,+00.0340,-00.1190,+10.0450,+00.000073,+00.000432,-00.000032
+078.253,+000.109,+179.338,+0.240,+0.562,-0.827,+00.0230,-00.1200,+10.0840,-00.001091,-00.000563,-00.000244
+078.252,+000.110,+179.338,+0.238,+0.565,-0.824,+00.0180,-00.1280,+10.0520,-00.000757,-00.000716,+00.000312
+078.251,+000.110,+179.338,+0.240,+0.560,-0.831,+00.0350,-00.1010,+10.0400,-00.000501,+00.001093,+00.000341
+078.250,+000.110,+179.338,+0.241,+0.566,-0.821,+00.0340,-00.1220,+10.0290,-00.000369,-00.000580,+00.001556
+078.249,+000.111,+179.336,+0.242,+0.562,-0.818,+00.0290,-00.1060,+10.0730,+00.000511,-00.000476,-00.000558
+078.247,+000.111,+179.337,+0.238,+0.563,-0.824,+00.0290,-00.1170,+10.0460,-00.000111,+00.000694,+00.000237
+078.248,+000.111,+179.337,+0.241,+0.571,-0.828,+00.0300,-00.1050,+10.0570,+00.000077,+00.000238,+00.000523
+078.252,+000.111,+179.338,+0.240,+0.574,-0.824,+00.0110,-00.1120,+10.1000,+00.000245,-00.000156,-00.000239
+078.252,+000.111,+179.339,+0.241,+0.566,-0.827,+00.0410,-00.1010,+10.0580,+00.000016,-00.001484,-00.001210
+078.252,+000.111,+179.339,+0.237,+0.569,-0.824,+00.0130,-00.1270,+10.0290,+00.000451,-00.000324,-00.000252
