Yaw,Pitch,Roll,MagX,MagY,MagZ,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
+078.334,+000.118,+179.329,+0.165,-0.042,-0.870,-00.0050,-00.1110,+10.0310,+00.000606,-00.000813,-00.000173
+078.331,+000.118,+179.330,+0.165,-0.047,-0.865,+00.0130,-00.1150,+10.0640,-00.000019,-00.000494,+00.000260
+078.327,+000.117,+179.330,+0.167,-0.046,-0.869,+00.0020,-00.1070,+10.0740,-00.000021,+00.001455,-00.000160
+078.327,+000.117,+179.330,+0.166,-0.045,-0.863,+00.0130,-00.0960,+10.0320,-00.000089,-00.000672,+00.000650
+078.326,+000.117,+179.332,+0.168,-0.041,-0.865,+00.0330,-00.1210,+10.0650,+00.000480,+00.000067,-00.000466
+078.326,+000.117,+179.332,+0.169,-0.045,-0.863,+00.0170,-00.1050,+10.0540,-00.000510,+00.000643,-00.000661
+078.323,+000.117,+179.332,+0.168,-0.040,-0.870,+00.0190,-00.1270,+10.0850,+00.001254,-00.000560,-00.000801
+078.322,+000.116,+179.332,+0.166,-0.047,-0.863,+00.0260,-00.1100,+10.0610,+00.000874,+00.000577,+00.000172
+078.322,+000.116,+179.332,+0.165,-0.038,-0.866,-00.0160,-00.1070,+10.0700,-00.000045,-00.000063,-00.000363
+078.321,+000.116,+179.332,+0.165,-0.038,-0.865,+00.0250,-00.1270,+10.0700,-00.000160,-00.000607,+00.000441
+078.326,+000.116,+179.332,+0.166,-0.035,-0.863,+00.0210,-00.1240,+10.0260,+00.000142,-00.000188,+00.000208
+078.326,+000.116,+179.332,+0.167,-0.045,-0.866,+00.0270,-00.1160,+10.0400,+00.000327,+00.000056,+00.000432
+078.323,+000.116,+179.333,+0.165,-0.040,-0.865,+00.0030,-00.1280,+10.0310,+00.000790,+00.000395,+00.000391
+078.319,+000.117,+179.333,+0.167,-0.032,-0.868,+00.0290,-00.1310,+10.0590,+00.000794,-00.000697,+00.000848
+078.324,+000.118,+179.334,+0.166,-0.041,-0.865,+00.0000,-00.1140,+10.0510,-00.000007,-00.000124,+00.000646
+078.324,+000.118,+179.335,+0.167,-0.040,-0.869,+00.0320,-00.1090,+10.0590,-00.001307,+00.000090,-00.000588
+078.324,+000.118,+179.335,+0.167,-0.037,-0.862,+00.0090,-00.1110,+10.0550,-00.000460,+00.000720,+00.000471
+078.322,+000.118,+179.335,+0.167,-0.043,-0.867,+00.0000,-00.1210,+10.0490,-00.001231,-00.000900,+00.000544
+078.321,+000.117,+179.335,+0.166,-0.043,-0.862,+00.0180,-00.1040,+10.0500,+00.001831,-00.001678,+00.000230
